"아시아투데이","X__1","X__2","X__3","X__4","X__5"
"척추·관절 종합병원 부민병원 ‘대한민국 명품병원’으로 도약","아시아투데이","2014.05","세브란스병원은 최근 정신건강의학과 병동 리모델링을 통해 진료시설을 대폭 확장하고 본격적인 환자치료에 들어갔다고 4일 밝혔다.이번에 확장 개원 한 병동은 환자와 보호자의 자유로운 출입이 가능한 ‘개방형 병동’및 집중적인 치료와 보호 필요성으로 활동 구역이 제한되는 환자를 위한 ‘보호형 병동’등 총 2개 병동, 56병상이다.병원은 맞춤형 진료시스템 강화를 위해 병동 내에 광치료실, 뉴로피드백 치료실, 경두개 자기자극 치료실, 인지치료실’ 등 각종 특수 검사실 및 치료실을 배치해 환자 동선을 최소화하는 한편 치료효율성을 높이도록 했다.또 주변 환경에 민감한 환자 특성을 고려해 모든 병상별로 개인 사물함과 냉장고, 전동침대를 갖춰 ‘환자의 사생활 보장 및 편의도’를 크게 높였다.특히, 병상별로 산소를 포함한 의료용 가스 공급시설과 각종 의료용 기기의 전원을 공급할 수 있는 전기콘솔을 대폭 보완, 이를 통해 내외과적 전문치료가 필요한 정신질환자나 정신과 전문 진료가 필요한 내외과 환자에 대한 치료가 일반병동이 아닌 정신과 병동에서 모두 이루어질 수 있도록 했다.특히, 세브란스병원 정신과 병동의 리모델링은 환자 안전도를 더욱 보장하고자 시설 분야에 많은 투자를 한 것이 특징. 세면실 내 고무 재질의 세면대와 깨지지 않는 벽면 유리, 줄이 긴 기존 샤워기 대신천장 부착형 샤워기를 설치했다. 창문은 특수 강화유리 재질의 이중 창구조에 원격조정이 가능한 블라인드를 창 사이에 넣어 환자가 직접 블라인드 조절 끈을 사용하지 않도록 하는 등 혹시 있을 환자 자해를 사전에예방하는데 중점을 뒀다.남궁 기 세브란스병원 정신과장은 “이번 병동 리모델링으로 환자의 프라이버시는 최대한 보장하면서 치료효율성과 환자안전도는 더욱 향상시키는 방향으로 많은 준비 끝에 마련됐다”며 “더욱 향상된 환자별 맞춤형 치료시스템과 특수클리닉을 확대해 모든 정신질환자들이 일상생활로 조기에 복귀할 수 있도록 전 의료진이 최선을 다할 것”이라고 말했다.","X",NA
"대구시, 전국 최초'환자확인 공동홍보'실시","아시아투데이","2014.0899999999999","좋은리버뷰요양병원, 복지부 요양병원 '인증' 획득0보건복지부 ‘인증의료기관’ 인증서 의료법인 은성의료재단 좋은리버뷰요양병원(병원장 임영배, 이사장 구정회)은 최근 보건복지부 ‘인증의료기관’으로 선정됐다고 13일 밝혔다. 인증은 2018년 5월 21일까지 4년간 유지된다.지난해 4월 3일 개원한 좋은리버뷰요양병원은 의료법인 은성의료재단 산하 좋은강안병원, 좋은삼선병원, 좋은애인병원에 이어 네 번째로 보건복지부 인증의료기관으로 선정됐다. 의료기관인증은 의료서비스의 질, 특히 환자 안전관리 수준이 신뢰할 수 있는 의료기관임을 보건복지부가 공인하는 것이다.좋은리버뷰병원은 지난 3월 26~77일, 3개 영역, 203개 항목에 대해 전문조사위원들로부터 서류 및 환자추적조사, 현장평가를 거쳐 전 항목에서 우수한 성적으로 의료기관 인증을 받았다. 2010년 11월부터 시행 중인 의료기관 인증제는 병원급 이상이 자율적 참여하지만, 요양병원 인증제는 지난해부터 의무화 됐다. 좋은리버뷰요양병원 임영배 병원장은 “이번 의료기관평가 인증 획득을 통해 지역사회 및 국민의 건강을 위해 환자 안전과 의료 질 향상에 자발적이고 지속적으로 노력하는 병원이 되겠다”고 밝혔다.","X",NA
"이화의료원, 김포국제공항의원 개소","아시아투데이","2014.0699999999999","구포성심병원, ‘손 위생 비교체험’ 이색 행사0구포성심병원은 지난 14~16일 사흘간 1층 로비에서 감염관리위원회 주관으로 ‘손 위생 비교체험’ 행사를 가졌다 /사진=구포성심병원 부산 구포성심병원은 지난 14~16일 사흘간 1층 로비에서 감염관리위원회 주관으로 ‘손 위생 비교체험’ 행사(사진)를 가졌다고 21일 밝혔다.이날 행사는 손에 특수형광물질을 바르고 형광물질이 지워지도록 손 씻기를 한 뒤 View box로 확인을 하는 방식으로 진행됐다.행사에 참여한 병원 내원 고객과 의사·병원 직원들은 이날 ‘손 위생 전·후 비교체험’ 행사를 통해 남아있는 형광물질을 눈으로 직접 확인하고 손 위생이 환자 감염관리의 첫 걸음이라는 것을 인식하는데 뜻을 같이했다. 또 이날 대부분의 참가자들이 행사 테스트를 의식하고 손을 씻었음에도 불구하고 손톱 밑, 손가락 사이, 엄지손가락 등에 형광물질이 남아있는 것을 확인 할 수 있었다. 이에 구포성심병원 감염관리간호사(전담간호사 이영옥)가 직접 손 씻기 6단계에 대해 설명하고, 손 씻기의 중요성을 한 번 더 일깨워주는 유익한 시간이 됐다.행사 참가자들은 “검사하는 줄 알고 더 신경 쓰면서 씻었는데도 균(형광물질)이 남아 있는 걸 보고 놀랐다.”며 “손 씻는 방법이 자신에게도 유익하지만 아이들에게도 유익하도록 잘 가르쳐야겠다.”고 설명했다. 구포성심병원 박홍근 병원장은 “손 위생 활동을 비롯해 감염예방을 위해 최선의 노력을 기울이는 한편 직원과 환자안전을 최우선으로 고객이 믿고 진료 받을 수 있는 건강한 병원환경을 만들기 위해 최선의 노력을 다할 것”이라고 전했다.","○","감염관리 행사"
"영천 마야병원, 보건복지부 의료기관 인증획득","아시아투데이","2014.01","척추·관절 종합병원 부민병원 ‘대한민국 명품병원’으로 도약0서울부민병원 전경 인당의료재단 부민병원은 1985년 개원 이래 28년 사반세기 동안 국내 척추·관절 분야의 진료와 연구를 이끌어온 척추·관절 종합병원이다. 서울·부산·구포에 병원을 운영하고 있으며 내년에는 해운대 병원을 개원할 예정이다. 2011년 보건복지부 관절전문병원(부산)으로 지정됐으며 의료기관 평가 인증원으로부터 인증을 획득(부산·서울) 했다. 지난해는 고용노동부로부터 고용창출 우수기업으로 선정됐다.부민병원은 치료의 전문성과 함께 환자안전, 감염예방, 응급치료 등 글로벌 수준의 의료시스템을 강점으로 당뇨·고혈압 등 만성질환자나 노인환자들도 안심하고 척추·관절 치료를 받을 수 있도록 다수의 내과, 응급의학과 의료진들이 함께 동반질환을 치료하는 대형 종합병원의 협진 시스템을 갖추고 있어 다른 척추·관절 병원들과 차별화된다. 서울과 부산병원 간 의료진 화상회의를 통해 최상의 치료결과를 도모하며 척추·관절 전담간호사, 상담실, 방문간호서비스 등 토탈 케어 서비스가 이뤄진다. 특히 최소상처 관절수술과 척추수술의 풍부한 치료경험과 최신 의료 기술을 보유하고 있다. 국내에서는 드물게 고난이도의 고관절(엉덩이관절)내시경 수술이 가능한 의료진과 장비를 갖추고 있으며 스포츠의학센터 등 비수술적 치료를 통해 치료원칙을 준수한다.부민병원은 진료뿐만 아니라 국내외 논문활동 및 교류를 통해 연구교육 분야에서도 성과를 나타내고 있다. 아시아 태평양 최소침습 척추학회(PASMISS), 대한척추외과 학회, 정형외과학회 등 국내외 많은 학회에 지속적으로 논문을 게재하고 있으며, 매년 SCI 논문에 등재되어 의료기술의 우수성을 세계적으로 인정받고 있다. 또 국제의사교육센터를 통해 싱가포르, 중국, 러시아, 우즈베키스탄 등 각국의 의사들과 최신 의료기술의 지식을 나누고 있으며 2011년에는 정형외과 수련병원(부산병원)으로 지정되는 등 국내외 연구 및 교육 활동을 통해 의료의 질 향상에 주력하고 있다. 2012년부터는 전문병원에서 주최하는 학술심포지엄으로서는 가장 큰 규모로 슬관절 심포지엄을 개최해 최신 치료경향에 대한 견해를 나누며 관절전문병원으로서의 방향성을 제시하고 있다.","X",NA
"동남권원자력의학원 2015 QI 경진대회 개최","아시아투데이","2015.1199999999999","(사)메디시티대구협의회(대구의료질향상위원회)는 대구시 8개 병원에서 전국 의료기관 중 처음으로 19일부터 진료실, 검사실 등 환자확인이 필요한 장소에 안내문을 비치하여 환자확인 공동홍보를 시작한다고 18일 밝혔다.메디시티대구협의회는 2013년부터 환자확인율 지표관리를 통하여 의료기관에서 환자가 바뀌어 발생하는 사고를 예방해 환자안전을 도모하고 있다. 의료기관은 의약품 투여 전, 혈액제제 투여 전, 검사시행 전, 진료, 처치 및 시술 전 환자의 바뀜 사고를 예방하기 위해서 두 가지 이상의 환자정보를 이용하여 환자확인을 시행하고 있다.이때 사용하는 두 가지 정보는 환자의 이름과 등록번호이며, 특히 이름의 경우는 환자 본인이 이름을 직접 말하게 하기 위해 “이름이 어떻게 되십니까?”라고 개방형 질문을 한다. 대부분 환자들의 경우 “내 이름을 아직도 모르냐”라고 화를 내기도 하므로 의료진이 이름을 묻기 전에 환자가 본인 이름을 먼저 말할 수 있도록 대구의료질향상위원회에서는 안내문을 제작하여 환자확인에 적극적인 참여를 유도하고 있다. 대구시 홍석준 첨단의료산업국장은 “환자확인율 지표관리 홍보를 전국적으로 확대하여 의료사고 예방과 메디시티 대구의 의료 서비스를 한 단계 올리는 데 큰 역할을 할 것으로 기대된다”고 말했다.","X",NA
"수원윌스기념병원, 의료서비스 및 환자 안전관리 최고 수준 입증","아시아투데이","2015.1199999999999","김포국제공항 개소식010이순남 이화여자대학교 의료원장(왼쪽 네번째), 정세영 한국공항공사 서울지역본부장(왼쪽 다섯번째), 유권 이대목동병원장(왼쪽 여섯번째) 등 참석자들이 15일 열린 김포국제공항의원 개소식에서 테이프 커팅을 하고 있다. 김포국제공항에 대학병원 전문 의료 인력이 상주, 응급의료 서비스를 제공하는 의료기관이 문을 열었다.이화여자대학교 의료원은 김포국제공항 국제선 청사 4층에 ‘김포국제공항의원’을 정식으로 개소하고 본격적인 진료에 들어갔다고 15일 밝혔다.김포국제공항의원은 이화여대 의료원이 진료 의료진을 파견하고, 한국공항공사 서울지역본부가 시설 및 부대 비품을 지원해 마련됐다. 김포국제공항의원은 진료실·주사실·처치실·X-ray 촬영실 등을 갖췄고, 이대목동병원에서 파견된 전문 의료인력이 상주해 응급의료 서비스를 제공하게 된다.이순남 의료원장은 “김포국제공항 이용객과 상주 직원들에게 상급종합병원에 준하는 의료 서비스를 제공할 수 있게 됐다”며 “일상적인 의료 서비스 외에도 항공기 사고 등 응급환자 발생 시 전문적인 응급의료 서비스 제공 등 환자 안전을 위해 노력을 기울일 것”이라고 말했다.","X",NA
"지방국립대병원 국가고객만족도조사서 충남대병원 1위","아시아투데이","2015.1199999999999","경북 영천시의 의료법인 고담의료재단 마야병원이 보건복지부 의료기관 평가 인증원으로부터 대구·경북 대형 정신전문 의료기관으로는 최초로 정신의료기관 인증평가에서 우수한 성적으로 인증을 획득하고 지난 3일 병원 1층 로비에서 인증서 수여식 및 현판식을 가졌다고 5일 밝혔다.마야병원은 지난해 10월 29일부터 31일까지 3명의 의료기관 평가인증원 조사위원들로부터 서류심사와 현지조사를 받은바 있다.이 기간 동안 환자안전과 의료 질 향상에 기반을 둔 기본 가치체계와 환자진료체계, 감염관리, 안전시설 및 환경관리 등 총 40개 항목에 대한 조사가 이뤄졌으며 그 결과 전 항목에 걸쳐 우수성을 인증받았다.특히 마야병원은 명확한 미션과 비젼을 바탕으로 정신질환자를 위한 다양한 치료프로그램과 안락한 병원시설, 산책로, 야외 휴게공간을 갖춰 다른 정신의료기관에서는 찾아보기 힘든 장점이라고 총평을 받았다.마야병원은 지난 1996년 12월 개원해 대구·경북지역을 대표하는 정신건강전문병원으로 660병상을 운영하고 있다. 주로 현대인들이 겪는 스트레스, 우울증, 불안장애 등을 비롯해 알코올중독, 조현병(정신분열병) 등을 치료하는 정신전문병원이며 특히 특화된 알코올중독치료 전문병동을 운영하고 있다.","X",NA
"부산 부민병원, 2주기 보건복지부 '의료기관 인증' 획득","아시아투데이","2015.0899999999999","동남권원자력의학원, 2015 QI (의료질 향상) 경진대회 개최0동남권원자력의학원의 2015년 ‘QI 경진대회’ 수상팀들이 단체 기념촬영하고 있다/제공=동남권원자력의학원 동남권원자력의학원은 최근 본관 대강당에서 2015년 QI(Quality Improvement) 경진대회를 열고 ‘수술의 예방적 항생제 사용 개선 활동’을 펼친 감염관리실에 최우수상을 수상했다고 28일 밝혔다.올해로 6회 째를 맞은 QI 경진대회는 안전하고 질 높은 의료서비스를 제공하고자 매년 열리고 있는 의료질 향상 연구대회로 올해 모두 25편의 의료질 향상 활동 결과가 접수됐다. 7명의 의료질관리위원회 위원들이 주제선정과 팀 구성, 개선정도, 개선효과 등의 부분으로 나눠 엄격하게 심사를 실시했다.최우수상을 수상한 감염관리실은 올해 항생제의 오남용과 항생제 내성균 발생을 막기 위해 적절한 항생제의 선택과 최소한의 기간 동안 사용하는 것을 권장했다. 그 결과 올해 8월에 건강보험심사평가원으로부터 99.1점이라는 높은 점수로 1등급 평가를 받았다. 우수상을 수상한 보험심사팀은 장기재원자에서 불필요한 추가 수납과 청구를 자제하고, 간호 처방 누락을 막아 환자 편의를 돕는 등 직원들의 업무 효율성을 도모했다.병동간호과에서는 재원기간 연장 및 중환자의 사망률을 높이는 원인이 되는 중심정맥 카테터와 관련된 드레싱 주기 교육과 간호 기록 개선, 기타 혈류 감염 감소 활동을 펼친 결과 감염률을 50% 가까이 감소시켜 장려상을 수상했다.이 외도 중앙공급실의 ‘효율적인 린넨류 관리를 통한 비용절감’과 진단검사의학과의 ‘검체코드 통합을 통한 채혈량 감소 및 검체용기 절감’, 외래특수간호과의 ‘정확한 환자 안전을 통한 안전문화 정착’이 입선을 차지했다.동남권원자력의학원 서봉근 병원장은“QI 활동은 작은 문제일지라도 이를 발견하고 개선하고자 하는 의지를 갖는 것에서부터 시작된다”며 “앞으로 QI 활동이 더욱 활성화 될 수 있도록 제도화하고 적극 지원하겠다”고 밝혔다.","X",NA
"동국대경주병원, 수술 예방적 항생제 평가에서 1등급 획득","아시아투데이","2015.0899999999999","수원 윌스기념병원0수원윌스기념병원 보건복지부 지정 척추전문병원인 수원 윌스기념병원(병원장, 박춘근)이 최근 보건복지부에서 실시한 ‘2주기 의료기관인증평가’에서 의료서비스의 질 향상과 환자의 안전관리에서 최상의 수준임을 인정받아 의료기관 인증을 획득했다.의료기관 인증은 보건복지부 의료기관 평가인증원이 환자 안전과 의료서비스의 질 향상을 위해 의료서비스 수준 및 의료기관 운영 실태 등을 평가해 인증을 부여하는 제도다. 수원 윌스기념병원에 따르면 이번 2주기 인증조사는 지난 1주기 인증보다 국제적 수준으로 의료기준을 강화한 가운데 ▲기본가치체계 ▲환자진료체계 ▲성과관리체계 ▲행정관리체계 등 4개 영역에 걸쳐 537개 조사항목에 대한 평가를 진행했다. 수원 윌스기념병원은 이번 인증조사를 위해 자체 TFT를 구성하는 등 의료서비스 개선을 위한 다양한 시설투자, 인력재배치, 업무프로세스 개선 등을 진행했다. 그 결과 이번 인증조사를 통해 안전한 의료서비스를 제공하고 신뢰할 수 있는 의료기관임을 객관적으로 인증 받아 인증 2015년 12월 4일부터 2019년 12월 3일까지 4년간 인증마크를 사용할 수 있게 됐다.박춘근 병원장은 “이번 인증은 전 직원이 의료서비스 질 향상을 위해 지속적으로 노력하고, 철저한 환자 안전관리 시스템을 인정받은 결과” 라며 “이번 2주기 인증 획득을 발판 삼아 보다 체계적이고 질 높은 의료 환경을 조성하는데 지속적으로 힘쓰겠다”고 말했다","X",NA
"부산부민병원, 환자중심의 ‘포괄간호서비스’ 시행","아시아투데이","2015.0899999999999","1-대 충남대 병원1 충남대학교병원(원장 김봉옥)은 2015년도 국가고객만족도 조사(NCSI) 병원의료서비스업 부문에서 지방 국립대병원 1위를 차지했다고 16일 밝혔다. 이번 조사대상은 한국생산성본부가 최근 2년 사이에 해당 병원을 방문해 진료서비스를 2회 이상 이용한 경험이 있는 고객을 대상으로 일대일 개별면접을 실시했으며, 그 결과 충남대학교병원이 77점으로 지방 국립대병원 1위를 차지했다.특히, 충남대학교병원은 전년대비 고객만족도 점수가 5.5% 높아졌는데, 이는 평가대상 병원 중 가장 많이 향상된 것이다. 이러한 결과는 고객들의 대기시간을 줄이기 위해 ‘하이패스 서비스’ 및 무인수납기 대상자 범위를 확대실시했으며, 또한 병원 각각의 건물들의 명칭 간소화, 건물별 고유 숫자 표기 및 색상을 부여해 고객들이 보다 알기 쉽고 편리하게 원하는 목적지를 찾을 수 있도록 했다.이뿐만 아니라, 지역번호를 누르지 않고 전국 어디서나 연결 가능한 대표번호(1599-7123) 운영 및말로 거는 전화서비스(1636+음성 충남대학교병원)를 실시해 고객들이 조금 더 편리하게 콜센터에 접근할 수 있도록 했다. 이외에도 고객 중심의 병원정책 구현을 위해 ‘고객행복위원회’를 출범했으며, 다양한 예술작품 전시와 음악회 등을 개최해 고객들과 소통의 장을 마련했다. 김봉옥 충남대병원장은 “이번 고객만족도 조사결과는 전 직원의 노력의 결과이며, 특히 업무프로세스 개선활동에 적극 동참해주신 직원들의 노고에 감사드린다”며, “앞으로 의학발전을 선도하는 인간중심 병원 구현과 고객이 중심이 되는 새로운 의료문화 구축을 위해 다양한 서비스를 개발하겠다”고 말했다.한편, 충남대학교병원은 2015년 2주기 보건복지부 인증 의료기관으로 선정됐으며, 경영진과 함께 20차에 걸쳐 안전라운딩을 실시하여 병원 내 안전 위험 요인을 조기에 발견해 의료질 향상과 환자안전에도 만전을 기하고 있다.","X",NA
