"경향신문","X__1","X__2","X__3","X__4","X__5"
"[경향마당]병원 근무자 명찰 착용, 왜 반대하나","경향신문","2017.04","한 해에 약 340만명이 병·의원을 찾는다. 또 이 가운데 53만명가량은 병·의원에 입원한다. 반면 병·의원을 찾은 대부분의 사람들은 자신을 진료하거나 치료하는 의료행위를 어떤 면허 또는 자격을 가진 사람이 하는지 알지 못한다.실제로 집 근처 동네의원만 가보더라도 그렇다. 동네의원 근무자들이 모두 명찰을 착용하지 않기 때문이다. 의료행위자가 누구인지 알지 못하는 것은 병·의원을 찾은 환자가 당연히 누려야 할 알권리를 제한당하는 것이며 환자 안전마저 중대하게 위협하는 일이다.정부는 이에 따라 병원 근무자의 명찰 착용을 의무화한 의료법 시행령을 지난 3월부터 시행할 예정이었다. 그러나 일부 의료 관련 단체의 반대와 준비 부족 등으로 시행되지 못하자 당국은 구체적인 내용을 담은 ‘의료인 등의 명찰 표시 내용 등에 관한 기준’을 꺼내들었다. 하지만 이 또한 반대에 부딪혀 실시 여부가 여전히 불투명한 상태다.환자가 안전을 직접적으로 보호받을 수 있도록 마련된 이 법안이 시행되지 못하면서 병·의원에서 여전히 무면허자와 무자격자를 통한 불법 대리수술이 이뤄지는 등 사회적 문제가 근절되지 못하는 한 원인이 되고 있다.언제쯤 병·의원을 찾은 환자가 적법한 면허와 자격을 갖춘 의료종사자로부터 최선의 의료를 제공받는 날이 올까? 이를 지켜보는 시민의 입장에서 참으로 안타깝다. 더구나 의료계 스스로 ‘의료 현장을 무시한 조치라 반대한다’는 의미가 아니라, 자신의 이익을 위해 환자의 안전과 알권리를 무시해온 것을 병·의원 운영자들이 스스로 인정한 것 아닌가 싶어 더욱 씁쓸함을 감출 수 없다.","○","의료법     시행령"
"분당제일여성병원, 보건복지부 2주기 의료기관인증 획득","경향신문","2017.02","분당제일여성병원(병원장 한동업)은 보건복지부가 실시한 인증의료기관 조사 결과 산부인과 전문병원으로 2주기 의료기관인증을 획득했다고 밝혔다.분당제일여성병원의 의료기관인증 획득은 성남, 용인, 강남, 송파, 광주 지역 산부인과전문병원으로는 유일하게 2주기 연속 인증을 획득한 경우라 그 의미를 더하고 있다.의료기관인증제(이하 인증제)는 보건복지부가 ‘환자 안전’과 ‘의료 서비스 질 향상’에 대한 평가를 통해 신뢰할 수 있는 병원을 인증하는 제도로, 병원의 자발적이고 지속적인 노력을 유도하고자 시행됐다.이러한인증제는 의원이 아닌 병원 급 이상의 의료기관에 한해 신청할 수 있으며, 신청 후 각 병원들은 기본가치체계<U+2022>환자진료체계<U+2022>행정관리체계<U+2022>성과관리체계 등 4개 영역에 대한 평가를 받게 된다.특히 ▲환자안전 ▲직원안전 ▲화재안전 ▲질 향상 운영체계 ▲환자안전 보고체계 운영 범주에 속하는 9개 기준은 필수 항목으로 규정, 반드시 기준을 충족해야 하는 까다로운 심사를 통해 인증 과정이 이뤄진다.분당제일여성병원 한동업 원장은 “이번 인증을 통해 분당제일여성병원은 환자의 안전과 진료, 약물관리와 사용, 감염 예방관리, 시설관리와 안전, 정보관리, 직원교육 및 인사 등 병원에서 이뤄지는 모든 절차와 시스템을 공식적으로 평가 받았다”고 전했다.한편, 보건복지부 의료기관 인증을 획득한 의료기관에게는 추후 4년간 유효한 인증마크가 부여되며, 분당제일여성병원의 경우 이번 인증을 통해 2020년까지 2주기 인증의료기관 자격을 유지하게 됐다.","X",NA
"인천성모병원 영상의학팀 논문, 방사선협회 장려상 수상","경향신문","2017.02","가톨릭대 인천성모병원 김기봉(왼쪽)·이호희(오른쪽) 방사선사가톨릭대학교 인천성모병원 영상의학팀이 잇다른 성과를 내고 있다.가톨릭대 인천성모병원은 김기봉·이호희 방사선사가 대한방사선사협회 인천광역시회에서 주관한 미추홀학술제에서 구연발표한 논문 2편이 장려상을 수상했다고 밝혔다.먼저 김기봉 방사선사는 ‘CT(컴퓨터단층촬영)’ 상에서 보여지는 출혈밀도(Hemorrhage Density)에 관한 고찰’을 주제로 머리나 복부출혈이 발생한 환자의 CT영상에서 혈액의 음영을 분석해 출혈원인, 출혈시기 및 경과 등을 파악할 수 있다는 내용을 발표해 장려상을 받았다.이호희 방사선사는 ‘급성기뇌졸중에 대해 회수성 스텐트를 이용한 혈전제거술의 안정성과 유효성’ 논문에서 뇌혈관협착이나 색전증에 의한 급성기 허혈성뇌졸중환자의 혈관을 빠른 시간 내에 재개통시키기 위해 회수성 스텐트를 사용한 치료방법에 따른 재개통률과 두개 내 출혈변화 등을 연구했다.가톨릭대 인천성모병원 영상의학팀 박종창 팀장은 “영상의학팀은 국내외 학술대회에 적극적으로 참여하는 것은 물론 부서 내 다양한 교육 및 연구를 통해 환자안전과 편의성증진을 위해 노력하고 있다”고 말했다.","X",NA
"순천향대부천병원, “명절연휴에도 환자안전 위해 최선”","경향신문","2017.01","대체공휴일(30일) 외래 정상진료·권역응급의료센터는 연휴기간 내 24시간 운영순천향대부천병원이 설 연휴 대체공휴일인 30일 외래 정상진료(1899-5700)를 실시해 환자들의 불편을 최소화한다. 설 연휴 기간 동안 발생하는 응급환자에 대비해 권역응급의료센터(032-621-5117~9)는 24시간 운영된다.순천향대부천병원 권역응급의료센터는 인천 권역(인천·부천·시흥시) 420만명 시민의 건강을 책임지고 있는 만큼 24시간 가동되는 질환별 응급 진료팀과 다학제 협진 시스템을 통해 중증 응급환자에게 신속·정확한 의료서비스를 제공하고 있다.특히 최근에는 ‘재난·감염병 위기 대응 구급차’를 도입해 감염관리체계를 한층 강화했다. 이번에 도입된 구급차는 기존 구급차와 달리 음압 격리실이 마련돼 있어 메르스 같은 재난상황 발생 시 감염병 환자를 이송 및 응급처치할 수 있으며 의료진 감염도 차단한다.이문성 병원장은 “시민들이 안전하고 편안한 설 연휴를 보낼 수 있도록 중증 응급환자와 재난·감염병 상황에 24시간 대비하고 대체 공휴일에는 외래 정상진료를 실시해 환자들의 불편을 최소화 할 것”이라고 밝혔다.","X",NA
"[특별 기고]‘마취실명제’로 환자 알 권리 보장을","경향신문","2017.01","2013년 기준 우리나라에서는 약 200만건의 마취가 시행됐다. 이는 전신마취(55%), 척추마취 등 부위마취(36%), 수면마취(마취제 정맥투여를 통한 진정요법, 9%) 등으로 구성돼 있다. 전체 전신마취 중 약 80%는 종합병원에서, 부위마취와 진정요법은 60% 이상이 개인병원과 병상 수 100개 이하의 병원에서 실시됐다.마취통증의학과 전문의가 아닌 사람에 의해 마취가 시행된다는 것은 환자안전을 고려했을 때 절대 있어서는 안 된다. 이는 국민 모두가 알아야할 사실이다.척추마취 등 부위마취의 중요성을 인식하지 못하는 것은 더욱 심각한 문제다. 마취통증의학과 의사가 아닌 사람에 의해 시행되는 부위마취의 비율이 19%~26%에 달하기 때문이다.마취통증의학과 전문의로서 마취안전을 위한 몇 가지 구체적인 방안을 제시하고자 한다. 우선 미국, 일본처럼 포괄수가제가 확대된 경우에도 행위별로 차이를 둬 마취수가를 산정하는 정책을 제안한다.이는 마취시행인력에 따른 가산제와도 맞물려 있다. 예를 들면 외과의가 직접 마취하면 수가를 산정해주지 않는다거나 마취통증의학과 전문의가 마취를 하는 경우 가산해주는 정책이 있을 것이다.이를 위해서는 우선 마취실명제가 시행돼야한다. 실명제를 통해 마취의 질과 안전성에 대한 근거를 만들 수 있기 때문이다. 이 정책이 성공하려면 마취인력에 대한 수가차등화가 전제돼야한다.특히 무엇보다 정책수립에 앞서 국민의 알 권리가 먼저 보장돼야한다. 환자 또는 보호자들이 수술 받기 전 누가 수술을 하는지, 마취는 마취통증의학과 전문의가 하는지 반드시 알아야하기 때문이다. 이러한 국민의 행동변화가 정부정책이 뒷받침되지 못하는 현 의료실정에서 그나마 마취통증의학과 전문의에게서 의료서비스를 제공받을 수 있는 토대가 된다.이처럼 정부가 포괄수가제에서의 행위별 마취수가 별도청구, 마취실명제, 마취시행인력에 따른 차등가산제도, 마취위험도에 따른 가산제도확대 등의 정책에 대해 지속적으로 관심을 가져야만 비로소 우리 국민의 마취안전문제가 해결될 것이다.","○","마취안전문제"
"“환자안전 위한 고민, 올해도 멈추지 않겠습니다”","경향신문","2017.01","인제대학교 상계백병원이 제14회 QI경진대회 및 환자안전행사를 개최하고 올해도 의료서비스 개선에 지속적으로 힘쓸 것을 다짐했다.상계백병원, 제 14회 QI경진대회 및 환자안전행사 개최인제대학교 상계백병원은 지난 4일 제14회 QI경진대회 및 환자안전행사를 개최했다. 이번 경연에서는 지난 한 해 동안 의료 질 향상 및 진료업무 개선을 위해 활동한 내용이 발표됐다.이번 대회에서는 예방화(火)리 팀에서 발표한 ‘병동 화재예방 및 안전관리 활동’이 대상을 차지했고 화재탈출넘버원 팀의 ‘중환자실 화재예방 및 안전관리 활동’이 최우수상을 수상했다.또 환자안전 개선활동 포스터 발표 부문에서는 재활치료실의 ‘전기자극치료 환자의 화상 예방활동’이 최우수상을, 우수상은 약제부의 ‘유사이름 의약품 투약오류 예방활동’과 영상의학과의 ‘Skull 일반촬영 시 안전사고 예방활동’이 차지했다.상계백병원은 의료 질 향상과 환자안전을 위해 매년 QI경진대회를 개최하고 있으며 해마다 다양한 주제를 발표해 병원 내 서비스의 지속적인 개선활동에 힘쓰고 있다.","○","환자안전행사"
"[재난이 된 폭염](4)에어컨 거의 안 틀어…요양하러 갔다 되레 열사병만 얻어","경향신문","2018.0799999999999","방관하는 의료·복지시설환자 안전보다 돈벌이 급급…한여름에도 내부온도 30도정부 허술한 점검체계 문제기록적인 폭염행진이 시작되던 지난달 24일 부산 수영구의 ㄱ요양원. 이곳에 머물던 88세 여성이 숨진 채 발견됐다. 경찰과 검안의가 출동했을 때 방의 내부 온도는 오전이었음에도 30도를 넘어선 상태였다. 조사 결과 이 요양원은 평소 밤 10시 이후에는 에어컨을 꺼뒀으며, 낮에도 ‘노인들이 에어컨 바람을 싫어한다’며 주로 복도에 냉방을 한 것으로 나타났다. 검안의는 고인이 열사병과 같은 ‘온열질환’으로 사망했을 가능성을 제기했다.요양원이나 노인병원 등 의료·복지시설 중 일부가 폭염 관리를 제대로 하지 못하는 것으로 드러났다. 노인·장애인과 같은 취약계층은 돌봄이 필요해 이 같은 전문 시설에 들어갔다가 ㄱ요양원의 경우처럼 도리어 병을 키운 사례도 적지 않다.지난 5일 서울과 강원도에 위치한 요양원들을 살펴본 결과 일부 시설들은 폭염에도 냉방을 최소한으로 공급했다. 강원도 횡성의 한 요양원은 기온이 높은 오후 2시30분쯤에도 방 온도를 30도 정도로 유지했다. 방 안이 후텁지근하다보니 한 노인은 침대에서 내려와 땅바닥에 몸을 붙이고 있었다. 시설 측은 “노인 다수가 방 바깥에 나와 에어컨을 켜지 않은 것”이라고 해명했다.지난해 충남 논산의 ㄷ병원에 부모가 입원한 적 있었다는 김모씨는 “당시 병원 냉방 시설이 열악해 병실 온도가 30도에 달했고, 이의를 제기해도 환풍기 정도만 교체해줬다”고 전했다. 광주의 한 장애인시설은 지난해 학대 의혹으로 조사받을 때 여름철 전기 요금이 봄이나 가을보다 적게 나와 논란이 됐다.복지·의료시설들의 폭염 대응에 문제가 많지만, 정부의 점검 체계는 허술한 편이다. 정부는 폭염이 오면 각 시설에 공문을 보내 ‘적정 온도’를 유지하도록 권고할 뿐 현장에 대한 점검은 벌이지 않고 있다. 점검 권한이 지방자치단체에 있다는 이유 때문이다. 폭염이 사회안전을 위협하는 국가적 요소가 된 상황 속에서 ㄱ요양원 같은 사건이 발생해도 정부가 할 일은 사실상 거의 없다.보건복지부 관계자는 “요양원이 지켜야 할 ‘적정 온도’가 구체적으로 정해져 있지 않지만 이 사건의 경우 피해자가 적절한 보호를 받지 못했을 가능성이 있다”며 “지방자치단체에 해당 요양원을 조사해보도록 요청한 상태”라고 말했다.일각선 환자 안전보다 정부 지원금을 통한 돈벌이에 몰두하는 일부 시설의 행태를 개선하기 위한 제도적 장치 마련을 요구하고 있다. 이길원 요양보호사노동조합 위원장은 “환자안전을 담보할 제도적 장치 마련이 시급하다”고 말했다.","X",NA
"삼성서울병원 “양성자치료, 간암치료에 효과적”","경향신문","2018.05","삼성서울병원 양성자치료센터 박희철·유정일 교수팀 분석결과, 치료 후 3개월간 경과관찰을 마친 78명 중 54명(69.2%)에서 종양이 완전소멸됐고 14명(17.9%)은 크기가 감소한 것으로 나타났다.박희철·유정일 교수팀 연구결과…간암치료에 효과·안전성 입증삼성서울병원의 양성자치료가 간암분야에서 가시적인 성과를 내고 있다.삼성서울병원 양성자치료센터 박희철·유정일 교수(방사선종양학과) 연구팀은 2016년 1월~2017년 2월 양성자치료를 받은 간세포암환자 101명을 분석한 결과를 대한방사선종양학회지 최근호에 발표했다.연구팀에 따르면 환자들은 모두 기존 치료법인 수술과 고주파 열치료 같은 국소소작술을 받기 힘든 상태였다. 이에 대안으로 양성자치료를 받은 후 상당한 호전이 나타난 것으로 확인됐다.치료 후 3개월간 경과 관찰을 마친 78명 중 54명(69.2%)에서 종양이 완전소멸됐고 14명(17.9%)은 크기가 감소했다.특히 양성자치료의 최대 강점으로 꼽히는 환자안전도 이번 연구에서 다시 입증됐다. 연구팀이 치료 후 3개월 뒤 환자들의 간기능을 평가했을 때 환자 89.2%가 양호한 상태를 의미하는 A등급을 유지했다.기존 방사선치료가 간에 미치는 악영향을 줄이기 위해 방사선량을 필요한 수준보다 낮게 투여한다는 점을 감안하면 양성자치료가 간암에서 효과적이고 안전한 치료임을 보여준다.박희철 교수는 “도입 초기이지만 양성자를 도입했던 선진국 사례를 보면 장기적으로도 환자에게 충분히 긍정적 결과를 가져다 줄 것으로 기대한다”라며 “앞으로 추가연구를 통해 치료효과를 높이고 장기적인 부작용에 대한 관찰도 꾸준히 진행해 환자 삶의 질을 개선하는 데도 주력할 것”이라고 말했다.","X",NA
"7월부터 ‘2~3인실 입원료’ 절반으로 떨어진다···건강보험 적용","경향신문","2018.0599999999999","자료: 보건복지부다음달 1일부터 서울대병원, 서울아산병원, 삼성서울병원 등 6개 상급종합병원(간호등급 1등급)의 2인실 입원료(환자 본인부담금)가 평균 23만8000원에서 8만9000원으로 대폭 낮아진다. 3인실 병실료도 평균 15만2000원에서 5만3000원으로 싸진다.보건복지부는 8일 제9차 건강보험정책심의위원회(건정심)를 열고 이같은 내용이 담긴 ‘상급병실 보험 적용 확대 및 중환자실 입원료 등 개선안’을 의결했다.현재 병실 입원료는 4인실 이상만 건강보험의 적용을 받는다. 이때문에 대학병원 같은 상급종합병원에서 4~6인실 병실이 부족해 어쩔 수 없이 2~3인 병실을 이용하는 환자들은 ‘상급병실료 차액’이란 명목으로 훨씬 더 비싼 입원료를 내야했다.자료: 보건복지부다음달부터 상급병실에 건강보험이 적용되면 병원들이 제각각 받던 2~3인 입원료는 4인실 입원료의 120%(3인실)와 150~160%(2인실) 수준으로 표준화된다. 현재 4인실 입원료는 상급종합병원(2등급)은 10만1060원, 종합병원(3등급)은 8만1090원이다. 입원료 중 환자 본인부담률은 상급종합병원 2인실은 50%, 3인실은 40%가 적용되고, 종합병원은 2인실 40%, 3인실 30%로 정해졌다.이에 따라 평균 15만4000원인 상급종합병원(2등급)의 2인실 본인부담금도 8만1000원으로 뚝 떨어진다. 3인실은 9만2000원에서 4만9000원으로 줄어든다. 종합병원은 3등급을 기준으로 2인실은 4만9000원, 3인실은 2만9000원으로 책정될 예정이다.보험이 먼저 적용되는 상급종합병원과 종합병원의 2~3인 병실 병상은 총 1만5217개로 집계됐다. 복지부는 연간 2173억원 가량의 건강보험 재정이 더 들어갈 것으로 전망했다.자료: 보건복지부복지부는 또 상급종합병원과 종합병원이 총 병상 중 의무적으로 확보해야 하는 건강보험 적용 병상 비율을 현행 70%에서 80%로 확대한다. 이렇게 되면 3~6인실 병상 12만9851개가 건강보험 적용을 받게 된다.병실 부족으로 원치 않는 2∼3인실 입원이 많은 대형병원과 달리 병상 여유가 있는 병·의원에 대해서는 연말까지 보험적용 여부를 결정하고, 감염 우려 등으로 1인실 이용이 불가피한 경우에 한정해 1인실에도 건강보험을 적용하는 방안도 검토하기로 했다.이와 함께 복지부는 7월부터 중환자실 내 환자안전과 의료질 제고를 위해 관련 수가를 15∼31% 인상하기로 했다. 또 상급종합병원이 상위 등급으로 갈수록 많은 수가를 받을 수 있도록 수가 적용방식도 개선한다.직결장암과 두경부암 치료제인 얼비툭스에 대한 건강보험 적용 기간은 2022년 6월까지 연장하고, 전문병원의 의료 수준을 높이기 위해 전체 병원급 전문병원 90곳을 대상으로 평가를 시행하기로 했다.또 비용 대비 효과성이 증명되지 않아 보험적용이 어려운 의약품에 대해 환자의 본인 부담률을 높여 보험을 적용해주는 선별급여제도 도입 계획도 밝혔다.복지부는 보험 인정 범위(적응증·투여대상·용량 등)를 제한하는 기준이 설정된 의약품을 기준 외로 사용하면서 환자가 비용 100%를 부담하는 경우가 빈번한 항암제에 대해서는 2020년까지, 그 외 의약품에 대해서는 2022년까지 선별급여 적용 검토를 완료하겠다고 밝혔다.","X","건강보험 적용"
"[성남시]분당서울대병원, 비정규직 근로자 정규직 전환","경향신문","2018.02","분당서울대학교병원은 비정규직 기간제 근로자의 정규직 전환 채용에 착수했다고 20일 밝혔다.대상 인원은 390명이다. 올해 189명을 시작으로 3년간 순차적으로 정규직으로 전환된다. 기존 무기계약직 직원도 정규직으로 전환해 차별 없이 인력을 운용키로 했다. 이와 함께 청소, 보안, 시설관리 등 외주·용역 근로자의 정규직 전환을 논의하는 협의 기구를 구성할 예정이다. 이 기구에서는 외주·용역 근로자의 정규직 전환대상 범위 및 방식, 추진 시기, 임금체계, 채용방식, 소속 근로자와의 차별 해소 및 처우개선 방안 등을 논의하게 된다.전상훈 분당서울대병원장은 “병원근로자의 안정적인 일자리는 근로의욕 고취와 함께 환자 안전 및 국민의 건강으로 귀결될 수 있는 중요한 사안”이라며 “공공부문 비정규직 근로자에 대한 고용안정화 정책이 지속적이고 성공적으로 이행될 수 있도록 국가중앙병원의 책임있는 역할을 강화해 나가겠다”고 말했다.","X",NA
"상계백병원 “환자안전 최우선으로 진료·연구역량 향상 총력”","경향신문","2018.01","인제대학교 상계백병원이 오늘(5일) ‘2018년 신년교례회’를 갖고 힘찬 새해를 위한 각오를 되새겼다.2018년 신년교례회 열고 각오 다져인제대학교 상계백병원이 오늘(5일) ‘2018년 신년교례회’를 열고 힘찬 새해를 다짐했다.교례회에는 이순형 인제학원 이사장, 김홍주 백중앙의료원장, 백대욱 재단본부장과 원로교수 등 교직원 150여 명이 참석한 가운데 새해 인사와 더불어 덕담을 나누는 시간을 가졌다.이순형 이사장은 신년사를 통해 “지난 한 해 동안 수고하신 교직원 여러분들의 헌신적인 노력과 열정에 감사드린다”며 “2018년에도 서울·경기 동북부 지역 중심 병원이라는 책임감을 갖고 더욱 튼튼한 협력병원 체계 구축과 진료 및 연구역량 향상을 위해 힘차게 나아가길 바란다”고 말했다.조용균 병원장은 “올해는 진료과에 선택하고 집중해 진료성과에서 우위를 점할 수 있는 특화분야 육성을 최우선 과제로 삼아 모든 역량과 지원을 집중하겠다”며 “여러 제도의 변화로 병원 운영에 어려움이 있겠지만 교직원과 힘을 합쳐 희망찬 한 해를 만들어 나가겠다”고 포부를 밝혔다.","X","신년회"
"나누리병원 “환자안전·의료 질 향상 위해 올해도 경주할 것”","경향신문","2018.01","강남·수원·인천나누리병원, 제 3기 척추전문병원 지정나누리병원이 지난 28일 보건복지부가 지정한 제 3기 척추전문병원으로 선정됐다고 밝혔다.보건복지부는 의료법에 의거해 특정 진료과목이나 특정 질환 등에 대해 난이도가 높은 의료행위를 하는 병원을 전문병원으로 지정하고 있다.특히 3기 전문병원(2018~2020년)은 지난 1, 2기와 비교해 환자구성비율, 의료 질 평가, 의료기관 인증 등 엄격한 자격기준이 요구됐으며 심사과정을 거쳐 총 109개 병원이 선정됐다.척추분야에서는 총 16개 병원이 선정됐으며 그중 강남나누리병원과 인천나누리병원, 수원나누리병원이 이름을 올렸다.나누리병원에 따르면 강남나누리병원과 인천나누리병원의 경우 3회 연속 척추전문병원에 지정됐다. 또 수원나누리병원은 개원 1년 만에 2014년 의료기관 인증을 획득한 데 이어 이번에 첫 척추전문병원으로 지정됐다.나누리병원은 앞으로도 자체적인 심포지엄 개최를 비롯해 환자안전과 의료 질 향상을 위해 다양한 활동을 전개한다는 각오다.나누리병원에 따르면 지난해 학회발표 92건, 논문발표 27건 등 총 119건의 학술활동을 진행했고 이 중 15편의 논문이 SCI(E) 저널에 실리는 성과를 거뒀다. 또 국제 의료나눔, 해외 의료진 교육 등을 통해 척추치료의 전문화된 시스템을 해외에 전파하고 있다.","X",NA
"5월29일이 환자 안전의 날이 된 이유···8년전 의료사고로 9세 환자 사망","경향신문","2018.04","2010년 5월 당시 9살이었던 정종현군은 병원에서 숨졌다. 3년간의 백혈병 치료가 거의 끝나가던 시점이었다. 정군의 죽음은 항암제 주사를 놓은 의사의 실수 때문이었다. 척수에 놓아야 할 주사와 혈액에 놓아야 할 주사가 서로 뒤바뀌었다. 이 실수는 치명적인 결과를 초래했고 정군은 허무하게 목숨을 잃었다.정군의 죽음 이후 국회에서 환자안전법이 제정돼 2016년 7월부터 시행됐다. 국가가 체계적으로 환자안전사고를 관리하도록 하는 것이 목적이다. 26일 그 첫번째 결과물이 나왔다. 보건복지부는 환자 안전사고에 대한 정부의 관리 방안을 담은 제1차 환자안전 종합계획(2018∼2022)을 발표했다. 또 정군이 사망한 5월29일을 ‘환자안전의 날’의 날로 지정해 환자중심 안전문화 조성 캠페인을 매년 벌이기로 했다.정부는 중대한 환자안전 사고가 발생하면 전 의료기관에 ‘주의경보’를 발령한다. 또 의료진의 환자안전 활동을 장려하기 위해 단계적으로 건강보험 수가를 적용해주기로 했다. 지난해 12월 구축된 ‘환자안전서비스 포털(https://www.kops.or.kr)’을 통해 수집된 사고를 분석하고 그 내용을 보건의료기관에 전달하는 체계도 구축한다.의료진이 환자 안전사고를 적극적으로 보고할 수 있도록 올해 안으로 보고내용에 대한 비밀보장을 법제화할 예정이다. 환자안전법은 의료기관이 환자 안전사고를 자율적으로 보고하도록 하고 있다. 법 시행 이후 올해 2월까지 접수된 사고는 총 5562건으로 월평균 292건이다. 사고 유형별로는 낙상(46.8%, 2604건)이 가장 많았고 약물 오류(28.1%, 1565건)가 그 뒤를 이었다. 정부는 앞으로 사망이나 심각한 신체적·정신적 손상이 예기치 않게 발생했거나 그러한 위험이 있는 ‘중대한 환자 안전사고’의 경우는 보고를 의무화하는 방안도 검토하기로 했다. 의무보고의 대상 범위는 사회적 합의를 통해 결정한다는 방침이다.환자안전 인프라를 강화하기 위해 현재의 환자안전본부(의료기관평가인증원)를 국가환자안전본부로 개편해 국가 차원의 컨트롤타워 역할을 수행하게 한다. 환자안전위원회를 설치해야 하는 의료기관은 현재 100병상 이상 종합병원과 200병상 이상 병원급이지만 앞으로 그 대상을 전체 의료기관으로 확대하는 방안도 추진된다.","○","환자안전위원회"
"“신종감염병 제대로 알고 대응하자”","경향신문","2014.0999999999999","의협 국민건강보호위원회, 감염병 대응회의 열어대한의사협회 의료정책연구소는 신종감염병에 대한 올바른 정보를 제공하기 위해 국민건강보호위원회 산하에 신종감염병 대응팀을 설치했다고 밝혔다.고대구로병원 감염내과 김우주 교수를 분과위원장으로 한 신종감염병 대응팀은 에볼라 바이러스병 유행지역 범위를 최근 확산 동향에 따라 기존 4개국인 기니, 라이베리아, 시에라리온, 나이지리아에서 세네갈이 추가된 5개국으로 변경해 홍보키로 했다.또 에볼라 바이러스병과 관련한 ‘최신 상황 동향보고’를 격주로 통합 보고하고 회람하는 등 전 의사회원을 대상으로 에볼라병에 대한 동향을 파악할 수 있도록 할 방침이다.신종감염병에 대한 올바른 지식전달을 위해 신종감염병에 관한 홍보포스터를 언론사와 유관단체 등에 확대 배포하는 방안도 모색했다. 질병관리본부 예산확보와 법률정비의 필요성도 대두되고 있어 이에 대한 공론화하는 자리도 마련키로 했다.의협 신현영 홍보이사 겸 대변인은 “에볼라바이러스병과 같은 신종감염병 출현이 빈번해지고 있어 의료인들이 신종감염병 현황을 파악하고 올바른 정보를 제공해 국민 불안감을 해소할 필요가 있다”며 “정부 및 관련 전문가들과의 협조를 통해 신종감염병에 대한 홍보와 예방, 치료에 최선을 다하겠다”고 전했다.▶더 많은 건강뉴스 보러가기","X",NA
"[신간] 경향신문 여의열전(女醫列傳), 한국의 최고 여의사들을 발굴하다","경향신문","2014.1199999999999","의협 국민건강보호위원회, 감염병 대응회의 열어대한의사협회 의료정책연구소는 신종감염병에 대한 올바른 정보를 제공하기 위해 국민건강보호위원회 산하에 신종감염병 대응팀을 설치했다고 밝혔다.고대구로병원 감염내과 김우주 교수를 분과위원장으로 한 신종감염병 대응팀은 에볼라 바이러스병 유행지역 범위를 최근 확산 동향에 따라 기존 4개국인 기니, 라이베리아, 시에라리온, 나이지리아에서 세네갈이 추가된 5개국으로 변경해 홍보키로 했다.또 에볼라 바이러스병과 관련한 ‘최신 상황 동향보고’를 격주로 통합 보고하고 회람하는 등 전 의사회원을 대상으로 에볼라병에 대한 동향을 파악할 수 있도록 할 방침이다.신종감염병에 대한 올바른 지식전달을 위해 신종감염병에 관한 홍보포스터를 언론사와 유관단체 등에 확대 배포하는 방안도 모색했다. 질병관리본부 예산확보와 법률정비의 필요성도 대두되고 있어 이에 대한 공론화하는 자리도 마련키로 했다.의협 신현영 홍보이사 겸 대변인은 “에볼라바이러스병과 같은 신종감염병 출현이 빈번해지고 있어 의료인들이 신종감염병 현황을 파악하고 올바른 정보를 제공해 국민 불안감을 해소할 필요가 있다”며 “정부 및 관련 전문가들과의 협조를 통해 신종감염병에 대한 홍보와 예방, 치료에 최선을 다하겠다”고 전했다.▶더 많은 건강뉴스 보러가기","X",NA
